City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Faanui,PF,2020-06-15 13:47:20,-16.48,-151.75,80.15,79,71,14.09
70,Lavrentiya,RU,2020-06-15 13:47:35,65.58,-171.0,45.97,71,50,2.08
71,Garmsar,IR,2020-06-15 13:55:39,35.22,52.34,101.08,7,0,7.7
72,Tiarei,PF,2020-06-15 13:47:31,-17.53,-149.33,77.0,83,20,3.36
73,Luderitz,NA,2020-06-15 13:47:37,-26.65,15.16,78.8,22,0,14.99
74,Oxbow,CA,2020-06-15 13:55:39,49.23,-102.17,61.0,85,15,5.99
75,Cidreira,BR,2020-06-15 13:44:25,-30.18,-50.21,59.52,75,0,17.29
76,Tarko-Sale,RU,2020-06-15 13:47:28,64.92,77.78,53.4,43,28,15.14
77,Muncar,ID,2020-06-15 13:55:40,-8.43,114.33,77.54,88,25,5.06
78,Kodiak,US,2020-06-15 13:47:34,57.79,-152.41,44.6,81,75,3.36
79,Provideniya,RU,2020-06-15 13:48:27,64.38,-173.3,52.16,61,42,5.14
80,Hasaki,JP,2020-06-15 13:55:40,35.73,140.83,73.4,94,75,3.36
81,Bazpur,IN,2020-06-15 13:55:40,29.15,79.12,99.34,22,30,3.91
82,Cherskiy,RU,2020-06-15 13:47:20,68.75,161.3,62.78,51,100,5.08
83,Bluff,NZ,2020-06-15 13:55:40,-46.6,168.33,49.95,88,0,9.08
84,Lebu,CL,2020-06-15 13:47:19,-37.62,-73.65,51.91,81,100,22.39
85,Clyde River,CA,2020-06-15 13:47:43,70.47,-68.59,33.8,92,90,20.8
86,Paita,PE,2020-06-15 13:47:58,-5.09,-81.11,68.0,72,16,25.28
87,Nara,JP,2020-06-15 13:54:26,34.69,135.8,78.01,68,10,4.07
88,Ancud,CL,2020-06-15 13:47:34,-41.87,-73.82,45.0,100,98,4.7
89,Georgetown,MY,2020-06-15 13:45:11,5.41,100.34,86.0,79,20,4.7
90,Conde,BR,2020-06-15 13:55:41,-7.26,-34.91,84.2,74,40,3.36
91,Thompson,CA,2020-06-15 13:47:18,55.74,-97.86,68.0,52,75,5.82
92,Yakima,US,2020-06-15 13:51:33,46.47,-120.67,51.8,81,90,4.7
93,Lasa,IT,2020-06-15 13:48:15,46.62,10.7,64.0,71,75,9.17
94,Saskylakh,RU,2020-06-15 13:47:35,71.92,114.08,52.99,78,100,17.16
95,Surat Thani,TH,2020-06-15 13:55:42,9.14,99.33,82.99,94,20,2.24
96,Northam,GB,2020-06-15 13:55:42,51.03,-4.22,62.01,84,59,1.99
97,Kununurra,AU,2020-06-15 13:47:44,-15.77,128.73,69.8,38,0,12.8
98,Koutiala,ML,2020-06-15 13:55:43,12.39,-5.46,100.22,27,1,5.08
99,Mar Del Plata,AR,2020-06-15 13:42:38,-38.0,-57.56,55.0,70,45,8.05
100,Vaasa,FI,2020-06-15 13:55:43,63.1,21.62,75.2,29,64,13.87
101,Yulara,AU,2020-06-15 13:48:07,-25.24,130.99,53.6,46,77,9.17
102,Monte Alegre De Minas,BR,2020-06-15 13:55:43,-18.87,-48.88,68.0,60,0,16.11
103,Hilo,US,2020-06-15 13:47:17,19.73,-155.09,71.6,83,90,5.82
104,Ballina,AU,2020-06-15 13:48:11,-28.87,153.57,59.0,93,40,1.12
105,Fukue,JP,2020-06-15 13:47:25,32.69,128.84,72.72,89,100,9.6
106,Vila Velha,BR,2020-06-15 13:55:44,-20.33,-40.29,78.8,74,75,9.17
107,Nacala,MZ,2020-06-15 13:48:08,-14.54,40.67,77.0,53,75,16.11
108,Qaanaaq,GL,2020-06-15 13:47:11,77.48,-69.36,35.92,81,93,6.6
